BPF Resource Thief Detector — Session Report
Generated : 2026-08-23 20:48:59.850662
Events    : 197
============================================================

[INFO] 20:48:31 | PID 58409 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:31 | PID 58408 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:31 | PID 58411 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:31 | PID 58412 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:31 | PID 58413 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:31 | PID 58415 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:31 | PID 58417 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:31 | PID 58419 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[ALERT] 20:48:31 | PID 7557 (MemoryInfra) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:32 | PID 58421 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:32 | PID 58422 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:35 | PID 58425 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:35 | PID 58427 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:35 | PID 58427 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:35 | PID 58429 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:35 | PID 58430 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:35 | PID 58431 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:35 | PID 58432 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:35 | PID 58433 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:35 | PID 58434 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:35 | PID 58435 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:36 | PID 58436 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:36 | PID 58437 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:36 | PID 58439 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:36 | PID 58441 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:36 | PID 58443 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[ALERT] 20:48:37 | PID 2516 (upowerd) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:40 | PID 58446 (sh) | New process spawned -> /usr/bin/which
[INFO] 20:48:40 | PID 58448 (sh) | New process spawned -> /usr/bin/ps
[ALERT] 20:48:40 | PID 58448 (ps) | High-speed file access: 51/sec — possible exfiltration
[INFO] 20:48:40 | PID 58450 (sh) | New process spawned -> /snap/code/258/usr/share/code/resources/app/out/vs/base/node/cpuUsage.sh
[INFO] 20:48:40 | PID 58451 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:40 | PID 58453 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:40 | PID 58452 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:40 | PID 58454 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:40 | PID 58455 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
[INFO] 20:48:40 | PID 58456 (cpuUsage.sh) | New process spawned -> /usr/bin/sleep
[INFO] 20:48:41 | PID 58457 (cpuUsage.sh) | New process spawned -> /usr/bin/sed
[INFO] 20:48:41 | PID 58458 (cpuUsage.sh) | New process spawned -> /usr/bin/cat
